metric_id,sub_power,type,question,seeded_headline,n,status,anchor_source_flag,tranche,real_anchor,source,base,grade,notes,bucket,bucket_why
REW_BEN_046,Benefits,single_select,Does your organisation offer income protection?,No 95%,220,ANCHORED,YES,1 - benefit prevalence,Group income protection / long-term disability: 25% all; 40% large(250+); 15% SME (offered to all employees),"CIPD Health & Wellbeing at Work 2025 (Sept 2025, YouGov, n=1,101; large 250+ n=376; SME n=446)",all-UK / large split,A,"CONFIRMED WRONG: seeded 5.5% offer, real ~42% (GRiD) - fix scoped | CONFIRMED: seeded 5.5% is WRONG. Fix to ~42%. GRiD = pull exact figure on next register update. | HW Table2. CONFIRMS earlier ~42% large anchor; corrects seeded 5.5%. all-UK=25%, large=40% || FIX STAGED 2026-06-20 (PENDING BUILD CONFIRMATION): income protection 5.5%->25% offer (all-UK) - all-UK base per default rule; confirm aggregate pass + tile recompute before marking SHIPPED || CIPD H&W 2025 SOURCE-CONFIRMED: group income protection / LTDI / PHI offered to all employees 25% all-UK (11% private large, 13% private SME, 15% public, 40% non-profit). Also: 61% of employers AGREE GIP would be a valuable benefit (latent demand). Staged seed fix 25% VERIFIED. Flip ""PENDING"" -> ""FIX VERIFIED 2026-06-20"". || CORROBORATION + LEVEL (Drewberry 2026, n=626): 34% of employers offer NO Income Protection (=66% offer some) - broker-book skew runs above CIPD all-UK 25%; among those offering, 50-59% salary replacement most common (25.2%). CIPD A stays prevalence anchor; Drewberry adds replacement-level shape. || BASIS CAVEAT (ruled 2026-07-16): CIPD 25/40/15 ratified canonical (only size-banded source; GRiD ~42% large corroborates the 40). The rates are OFFERED-TO-ALL-EMPLOYEES basis applied to an any-offer-by-kind question -> the shipped 0.366 marginal is a deliberate CONSERVATIVE FLOOR under the true any-offer rate. OPEN ITEM (scheduled, next register pass — queued beside the 25-row base extraction): re-anchor to a clean ANY-OFFER source (GRiD candidate); true any-offer rate is higher. Not a re-seed now. Drewberry 66% = any-offer on a broker-skewed base; corroborating context only (lives at 048).",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_047,Benefits,single_select,"If income protection is offered, what is the typical wa",4-13 weeks 36%,220,ESTIMATE-FLAGGED (no published prevalence),N/A,1 - benefit prevalence,Income-protection waiting period: not given as prevalence in these sources,-,n/a,EST,"Reconcile to 046 base; waiting-period detail needs GRiD (not in batch) || PAYLINE OSP MECHANICS (n=146 full-pay records): weeks at FULL pay median 19, mean 19.4 (range 1-52); 55% give 14-26 wks, 30% give 5-13 wks. NB this is OSP not income-protection waiting period - adjacent, still not the IP figure. Prevalence remains estimate-flagged; mechanics now evidenced. Base: Payline large/public skew. || Drewberry 2026 does NOT give IP deferred/waiting period prevalence (only salary % replaced). Row stays estimate-flagged; CIPD also silent. No upgrade.",MANUAL,no %-value in anchor
REW_BEN_048,Benefits,single_select,"If income protection is offered, what is the typical sa",50-65% 35%,220,ANCHORED,YES,1 - benefit prevalence,"Group Income Protection benefit level: among UK employers offering IP, 50-59% of salary is the most common replacement level (25.2%). NB 34% of employers offer no IP at all (corroborates CIPD 'IP 25% all / 40% large / 15% SME').","Drewberry UK Employee Benefits Benchmarking Report 2026 (Brown & Brown, FCA-regulated broker)","UK employer-prevalence; n=626 HR/finance professionals, online survey Feb 2026; all sizes/sectors incl. Drewberry's own clients (broker-book skew). Indicative, not nationally weighted.",B,Needs GRiD report,BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_055,Benefits,single_select,Are benefit costs tracked centrally as part of total re,Yes 38%,220,unanchored - needs research,,1 - benefit prevalence,,CIPD Reward Survey 2026,all-UK,,No direct 'costs-tracked-centrally' %; proxy,BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_100,Benefits,single_select,What proportion of employees are eligible for employer-,10-24% 27%,220,unanchored - needs research,,1 - benefit prevalence,,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK / large split,,Fig24 large=57%; Fig25 SME=16%; matching-plan eligibility,BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_102,Benefits,single_select,What proportion of employees participate in salary sacr,<10% 26%,220,unanchored - needs research,,1 - benefit prevalence,,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK / large split,,p6 text 54% large; Fig25 SME=15%; Fig24 large=54%,BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_112,Benefits,matrix,What is the typical employer pension contribution by le,8 17%,1540,ANCHORED (Grade B - broker-book base),N/A,1 - benefit prevalence,Base employer contribution: 68% of employers sit between 3% and 6% of pensionable salary (Aon Q77/78),"Aon UK Benefits & Trends Survey 2025 (Spring 2025, n=240+ UK senior HR/reward/benefits professionals, broker-book skew) Q77/Q78",Base: UK employers responding to Aon benefits survey (240+); broker-book skew,B,"estimate-flag; 6% AE floor only | legacy partial: employee-side DC rates captured (min med 4%/max med 6%, n=59-61); employer-match amount field present but sparsely completed - employee rates anchorable, employer-by-level remains estimate [2026-06-21] || UPGRADE EST->B. Aon UK Benefits & Trends Survey 2025 (Spring 2025, n=240+ UK senior HR/reward/benefits professionals, broker-book skew): base employer contribution 68% between 3-6% of pensionable salary. Broker-book skew -> Grade B. Replaces blank estimate with sourced distribution.",DISTRIBUTION,headline vs seed band aggregate
REW_BEN_139,Benefits,matrix,Which levels are eligible for employer-provided private,No 51%,1540,unanchored - needs research,,1 - benefit prevalence,,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",large 250+,,same as 044; eligibility cascades by seniority (matrix already coherent). | Companion to 044 at large base,CLEAN,single % vs single option
REW_BEN_FLEX_ALLOW_01,Benefits,matrix,What is the annual flexible benefits allowance by emplo,2.1 4%,1022,ESTIMATE-FLAGGED (no published prevalence),N/A,1 - benefit prevalence,Annual flex-benefits allowance £ by level not surveyed,-,n/a,EST,estimate-flag,MANUAL,no %-value in anchor
REW_BEN_PENS_EE_MAX_01,Benefits,matrix,What is the MAX employee pension contribution rate by e,11 16%,1540,ANCHORED,N/A,1 - benefit prevalence,"Max employee DC contribution: median 6% (p25 5%, p75 7%), range 3-12% (n=59)","lumi legacy platform (HR Data Hub intake), 2019-20","UK employer-prevalence, answered-only n; large-employer/FTSE skew; pre-2024 vintage",B,"estimate-flag | UPGRADE est->anchored (legacy): max employee DC contribution rate distribution, n=59. lumi legacy platform (HR Data Hub intake), 2019-20. [2026-06-21]",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_PENS_EMP_MAX_01,Benefits,matrix,What is the max employer pension contribution rate by e,9 15%,1540,ANCHORED (Grade B - broker-book base),N/A,1 - benefit prevalence,~50% of employers offer max employer contribution 9%+; 27% offer 11%+ (Aon Q77/78),"Aon UK Benefits & Trends Survey 2025 (Spring 2025, n=240+ UK senior HR/reward/benefits professionals, broker-book skew) Q77/Q78",Base: UK employers responding to Aon benefits survey (240+); broker-book skew toward larger/advised employers,B,"estimate-flag || UPGRADE EST->B. Aon UK Benefits & Trends Survey 2025 (Spring 2025, n=240+ UK senior HR/reward/benefits professionals, broker-book skew): max employer contribution distribution - ~half offer 9%+, 27% offer 11%+. Broker-book skew (overstates vs all-UK) so Grade B not A, but a real sourced distribution beats a blank estimate. In scope: lumi benchmarks contribution rates, not salary.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_FAI_STUDY_TIME_93b6ef22,Benefits,single_select,Is paid study time provided for employees undertaking f,Yes - limited paid study 32%,206,ANCHORED,YES,1 - benefit prevalence,"Paid study leave/time is offered by ~70% of UK employers (most common for staff undertaking formal qualifications), though usually targeted to certain employees rather than universal. Sits within a strong L&D set: 92% offer training/career-development, 75% pay professional subscriptions/fees. NOTE: 70% measures paid study LEAVE; the proportion offering protected paid study TIME (day-release) specifically may be somewhat lower - treat as upper bound.","CIPD ""Reward Management Survey 2022: Focus on employee benefits"" (April 2022, ref tcm18-108776). Employer survey: 280 UK reward professionals, Oct 2021 (private 70%). Grade A with modest-sample caveat. Verified from source PDF.","All-UK employers (~280 reward professionals), CIPD Oct 2021. Employer-prevalence. ""Study leave"" used as proxy for paid study time; actual day-release prevalence may be lower so 70% is an upper bound.",B,"CIPD RMS 2022: study leave 70% used as proxy. Graded B (not A) because question asks specifically about paid study TIME/day-release for formal qualifications, which is narrower than ""study leave"" - 70% is an honest upper bound, not an exact match. || CONTEXT (apprenticeship levy ZERO-YIELD for prevalence): CIPD ""Balancing act: Youth apprenticeships and the case for a flexible skills levy"" (May 2024, ref 8624, with Youth Futures Foundation). Employer figures sourced from CIPD Labour Market Outlook Winter 2023/24 (n=679 levy-payers / n~2,000-2,006 employers). This is a POLICY/macro report (DfE apprenticeship stats, levy critique, NEET). Its employer figures are attitudinal/levy-usage NOT benefit-prevalence: 54% rebadged existing training as apprenticeships; 41% say levy increased training spend (49% no impact); 55% prefer broader training levy vs 23% apprenticeship levy; 89% support apprenticeship guarantee for under-24s, 60% could offer a place. None answer ""% of employers offer benefit X"" - correctly NOT anchored (EAP-error avoidance).",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_PAY_109,Benefits,matrix,Which role levels are eligible for a status car allowan,No 75%,1540,unanchored - needs research,,1 - benefit prevalence,,,,,,,
REW_PAY_EV_KWH_66ef252b,Benefits,single_select,What reimbursement rate (in pence per kWh) do you apply,20-24p per kWh 21%,216,unanchored - needs research,,1 - benefit prevalence,,,,,,,
REW_Q049530,Benefits,single_select,What mileage is required to be eligible for a business,8k-9k 33%,175,unanchored - needs research,,1 - benefit prevalence,,,,,,,
REW_Q524161,Benefits,matrix,What is the employer notice period by level?,4 weeks 27%,1540,ANCHORED (statutory floor),YES - gov.uk verified,1 - benefit prevalence,"Statutory employer-to-employee notice floor: 1 wk (1mth-2yr service), +1 wk per year thereafter, max 12 wks. Contractual notice by level sits above this.",gov.uk / Acas / business.gov.uk + Employment Rights (Increase of Limits) Order 2026; Employment Rights Act 2025 (SSP reform). Verified June 2026.,"UK statutory floor (legal minimum, applies to all UK employers). This is the LEGAL BASELINE, not a prevalence - it sets the floor the platform measures ""above/on/below"" against, not what % of employers do X.",A,"Floor only. By-level contractual notice is the actual benchmark and is unanchored (needs survey). | legacy corrob: notice cascade Exec/Director 26wk / HoD-Manager 12wk / Supervisor-Frontline 4wk, n=47-52 - employee & employer symmetric in this sample [2026-06-21]",MANUAL,no %-value in anchor
b1785613-96ed-4a64-9fd7-762d0ac65f19,Benefits,matrix,What is the employee notice period by level?,4 weeks 27%,1540,ANCHORED (statutory floor),YES - gov.uk verified,1 - benefit prevalence,Statutory employee-to-employer notice floor: 1 week minimum once employed 1 month+. Contractual employee notice by level sits above this.,gov.uk / Acas / business.gov.uk + Employment Rights (Increase of Limits) Order 2026; Employment Rights Act 2025 (SSP reform). Verified June 2026.,"UK statutory floor (legal minimum, applies to all UK employers). This is the LEGAL BASELINE, not a prevalence - it sets the floor the platform measures ""above/on/below"" against, not what % of employers do X.",A,"Floor only. By-level contractual notice unanchored (needs survey). | legacy corrob: notice cascade Exec/Director 26wk / HoD-Manager 12wk / Supervisor-Frontline 4wk, n=47-52 - employee & employer symmetric in this sample [2026-06-21]",MANUAL,no %-value in anchor
fa0f46f6-61e3-41d1-a2d1-3e57483bb1cf,Benefits,matrix,What is the annual car allowance amount by level?,5000 6%,490,unanchored - needs research,,1 - benefit prevalence,,,,,,,
OT_03_1a68c68a,Time Off,single_select,Is time off in lieu (TOIL) offered as an alternative to,Yes 55%,218,unanchored - needs research,,2 - leave/policy,,,,,,,
REW262_TIME_BEREAVEMENT,Time Off,single_select,Do you offer paid bereavement leave above the statutory,1-5 days enhanced 45%,220,ANCHORED - FIX SHIPPED 2026-06-21,YES,2 - leave/policy,Paid bereavement leave (excl parental): 27% all; 26% SME,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK,A,"seeded ~60% enhanced - slightly HIGH vs CIPD 46% enhanced pay. Consider nudge toward ~46-50%. | RS Fig13=27% all; Fig25 SME=26%. FLAG: seeded ~60% is OVERSTATED vs 27% all. Reconcile || FIX STAGED 2026-06-20 (PENDING BUILD CONFIRMATION): bereavement ~60%->27% enhanced (all-UK) - all-UK base per default rule; confirm aggregate pass + tile recompute before marking SHIPPED || ERA 2025 (Royal Assent 18 Dec 2025) context via Mercer Marsh Mar 2026: new Bereaved Partners Paternity Leave, up to 52 weeks for fathers/partners if mother/primary adopter dies within first year of child life, for bereavements on/after 6 Apr 2026. Distinct from general bereavement leave but raises the statutory floor this row benchmarks against. || CORROBORATION (HRDH Outlook21, n=156 large UK cos): bereavement support 61% in place. Employer base, large-co skew. Supports a majority-have figure; existing anchor stays. || STATUTORY FORWARD-FLAG (Mercer Marsh Benefits 'Employee benefits market trends (UK)' Mar 2026): Employment Rights Act 2025 introduces Bereaved Partners' Paternity Leave (up to 52wk if mother/primary adopter dies in child's first year) for bereavements on/after 6 Apr 2026; qualifying period for bereaved fathers/partners removed end-2025. || SHIPPED 2026-06-21: reseeded enhanced 60% -> realised 26.9% (Statutory only 73.2% / 1-5d 20.5% / 5+d 6.4%) per CIPD RS Feb 2026 Fig13 = 27% all-UK. Held current internal enhanced ratio. Was seeded too HIGH. qa_reseed 9/9; not frozen. 124 orgs changed.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW262_TIME_SICKDAYONE,Time Off,yes_no,Does your occupational sick pay apply from day one (no,Yes 61%,220,unanchored - needs research,,2 - leave/policy,,ERA 2025 / gov.uk economic analysis Jan 2026,UK statutory,,"CONTEXT SHIFT: SSP from day one is now law (was 4th day). Seeded 60.9% 'yes' for enhanced/contractual day-one OSP still meaningful ABOVE statutory. Note the statutory change. || CIPD H&W 2025 SOURCE: ~30% of employers make OSP eligible from first day of employment (rises to 43% public sector). 66% have OSP for all employees. Full-pay duration: ~40% give >6 months (64% public), ~10% under 1 month.",MANUAL,no %-value in anchor
REW263_TIME_CARERPAID,Time Off,single_select,Do you offer enhanced carer's leave (paid) above the st,Statutory unpaid only 56%,220,ANCHORED,YES,2 - leave/policy,Paid carer's leave (above the statutory 1-week UNPAID entitlement) offered by ~31-45% of UK employers as a support form (45% of those offering carer support cite paid leave; ~36% paid carer's leave overall per RMS 2022). Above-statutory practice - the Carer's Leave Act 2023 floor is UNPAID.,"CIPD ""Flexible and hybrid working practices in 2025"" (July 2025, ref 8909). YouGov, n=2,050 UK HR professionals, fieldwork 14 Apr-5 May 2025, weighted/representative of senior decision-makers. Grade A. Post-ERA (Flexible Working) Act 2023 day-one right. Verified from source PDF.","All-UK employers, n=2,050 HR professionals, weighted (CIPD/YouGov 2025). Nationally representative. Sector/size splits in source. Post-Carer's-Leave-Act-2023 and post-day-one-flexible-working-right (Apr 2024).",A,"Links REW_BEN_FAM_007 || CIPD flex 2025 Grade A all-UK UPGRADE B->A: paid carer's leave is a minority above-statutory benefit (31-45% range across CIPD sources). Statutory floor (Apr 2024) is 1 week unpaid; paid remains employer discretion. || CONFIRMED CURRENT (CIPD Flexible & Hybrid Working 2025 (Jul 2025, YouGov n=2,050 employers, weighted)): 52% have a carer's-leave policy/procedure; only 15% saw increased requests since Carer's Leave Act 2023. Most common carer support: flexible working 48%, paid leave 36%, in-work support 36%.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW263_TIME_DAYONELEAVE,Time Off,yes_no,Have you made paternity and unpaid parental leave avail,Yes 61%,220,ANCHORED (statutory floor),YES - gov.uk verified,2 - leave/policy,Day-one paternity leave and unpaid parental leave became statutory rights under the Employment Rights Act 2025 (in force 2026). Previously paternity required 26 weeks service; that qualifying period is removed.,gov.uk / Acas / business.gov.uk + Employment Rights (Increase of Limits) Order 2026; Employment Rights Act 2025 (SSP reform). Verified June 2026.,"UK statutory floor (legal minimum, applies to all UK employers). This is the LEGAL BASELINE, not a prevalence - it sets the floor the platform measures ""above/on/below"" against, not what % of employers do X.",A,"This row asks if employer made these day-one - as of ERA 2025 this is now the LEGAL MINIMUM for all employers, not a differentiator. Anchored as statutory fact. || ERA 2025 timeline (Mercer Marsh Mar 2026): day-one eligibility for paternity and unpaid parental leave takes effect Apr 2026 (was 26 weeks service for paternity, 1 year for unpaid parental). Statutory floor for this row moves to day-one from Apr 2026. || CIPD working-parents 2022 Grade A all-UK: paternity/partner LEAVE distribution - 49% statutory 1-2 wks only, 3% three wks, 9% four wks, 13% offer 5-28 wks. (vs 2016: 71% statutory-only - entitlements rising.) Keeping-in-touch days: 38% actively encourage. Pre-ERA 2025 (day-one paternity Apr 2026). || STATUTORY FORWARD-FLAG (Mercer Marsh Benefits 'Employee benefits market trends (UK)' Mar 2026): Employment Rights Act 2025 makes paternity + unpaid parental leave 'day one' rights from April 2026 (was 26wk qualifying for paternity, 1yr for unpaid parental). Affects the statutory floor this row sits above.",MANUAL,no %-value in anchor
REW263_TIME_FERTLEAVE,Time Off,single_select,Do you provide dedicated paid fertility-treatment leave,Not applicable 74%,220,ANCHORED,YES,2 - leave/policy,"CIPD 2023 Grade A all-UK: 22% of UK employers provide PAID time off to attend fertility appointments/manage treatment (34% public sector, 19% private). 27% provide flexibility of working hours (36% public, 24% private). 27% have a formal fertility-treatment POLICY (7% standalone + 20% within wider policy; 42% public, 24% private). 49% provide some kind of fertility support overall; 28% provide none. No statutory entitlement exists, so all provision is discretionary.","CIPD ""Workplace support for employees experiencing fertility challenges, investigations or treatment"" (May 2023). Employer survey: YouGov, n=2,023 senior HR decision-makers, fieldwork 22 Mar-18 Apr 2022, weighted representative of UK business by size/sector/industry. Grade A. Verified from source PDF.","All-UK employers, n=2,023, weighted to UK business by size/sector/industry (CIPD/YouGov 2022-23). Nationally representative. Sector splits in source.",A,Aon qualitative + planning figures (large skew). Grade C - narrative not tabulated prevalence. Low but growing. Even among large employers a minority benefit. || UPGRADED Grade C->A: replaces earlier Aon low-single-digit chart-read with CIPD nationally-representative employer survey. Use 22% (paid time off) as the leave-specific anchor; 27% policy prevalence as the policy-row figure.,BASE_VARIANT,multi-base; use all-UK (first/headline)
REW263_TIME_HOLRECORDS,Time Off,yes_no,Do you maintain compliant annual-leave and holiday-pay,Yes 74%,220,UNANCHORED,,2 - leave/policy,,,,,"Drewberry 2026. 25 days is modal (31.2%). Benefits-engaged skew = likely slight upward bias vs. all-UK. Complements Payline Grade-C finding of 26-day median in larger/unionised sample. Bank holidays typically in addition. || Reverted mis-fit auto-match 2026-06-20 (governance row, not a benefit-level row).",,
REW263_TIME_IVF,Time Off,single_select,How many funded IVF/fertility treatment cycles (or fina,Not applicable 75%,220,unanchored - needs research,,2 - leave/policy,,,,,"LIFE-STAGE PROVISION (CIPD H&W 2025 Fig29, n=791): fertility treatment/issues covered to large/moderate extent by 43% of orgs WITH wellbeing activity (=~34% of all orgs). Higher than the CIPD 2023 stand-alone-fertility-policy figure (27%) because it counts any guidance/awareness, not just formal policy. Corroborates direction; 27% formal-policy stays the anchor.",,
REW263_TIME_NEONATAL,Time Off,single_select,Do you provide paid neonatal care leave above the statu,Statutory only 66%,220,ANCHORED (sourced),,2 - leave/policy,Statutory from Apr 2025 (up to 12wks); ENHANCED beyond stat is the seed's subject,CIPD / Neonatal Care Act 2023,UK statutory + enhancement,B,seeded ~34% enhance - plausible for a brand-new (Apr 2025) entitlement; enhancement still rare. Reasonable.,MANUAL,no %-value in anchor
REW263_TIME_PATPAY,Time Off,single_select,"Do you provide enhanced paternity pay above statutory,",Statutory only 52%,220,ANCHORED (sourced),,2 - leave/policy,67% enhance paternity/partner pay (top-tier); 21% enhance >2wks (broader),Bright Horizons Benchmark 2021; updated,tier-one (67%) vs broad (21%),A,"BASE-CRITICAL: 67% is top-tier employers, 21% is broad. seeded ~48% enhance sits between - plausible for mixed/large pool. Note both bases. || CIPD working-parents 2022 Grade A all-UK SOURCE: enhanced paternity PAY - 36% statutory-minimum only, 16% two wks enhanced at/near full pay, 8% up to four wks enhanced, 9% offer 5-28 wks enhanced. (Private 40% statutory vs public 24%.) 46% of employers would support extending statutory paternity leave/pay. | legacy corrob: paternity pay basis Same-for-all 24 / By-service 12 / Statutory 11, n=47 [2026-06-21] || LEVEL DISTRIBUTION (Drewberry 2026, n=626): full-pay paternity - 27.3% pay full salary for statutory 2 weeks (most common), 20.4% offer 4 weeks full pay, 13.6% go beyond; 18.8% statutory-only (up from 14.1%). Day-one paternity right from Apr 2026 (ERA 2025). CIPD A stays prevalence anchor.",DISTRIBUTION,headline vs seed band aggregate
REW263_TIME_PREGLOSS,Time Off,single_select,Do you provide paid leave for pregnancy loss / miscarri,No specific provision 50%,220,ANCHORED (sourced),,2 - leave/policy,New statutory right to pregnancy-loss leave coming 2027 (ERA 2025); currently discretionary,ERA 2025 / WEC; CIPD,UK - pre-statutory,B,seeded ~50% no-provision / 31% discretionary / 19% paid - plausible for a pre-statutory discretionary area. Reasonable. Note 2027 statutory change incoming.,MANUAL,no %-value in anchor
REW_BEN_041,Time Off,single_select,What is the maximum additional leave that can typically,Not offered / not applic 64%,220,unanchored - needs research,,2 - leave/policy,,,,,,,
REW_BEN_FAM_001,Time Off,single_select,How does your maternity and adoption pay compare to sta,Statutory pay only 38%,217,ANCHORED,YES,2 - leave/policy,33% of UK employers offer statutory-minimum maternity pay only; 18% offer 4-13 wks enhanced at/near full pay; 21% offer 26 wks enhanced at/near full pay then 13 wks SMP. (Private 38% statutory-only vs public 13%; public most generous.),"CIPD ""Employer focus on working parents: parental leave and pay and childcare policies"" (Aug 2022, ref 8268). YouGov, n=2,000 senior UK decision-makers, Jun-Jul 2022, weighted representative of UK employment by size/sector/industry (from Labour Market Outlook). Grade A. Verified from source PDF.","All-UK employers, n=2,000, weighted to UK employment by size/sector/industry (CIPD/YouGov 2022). Nationally representative. Sector splits in source. NOTE: pre-dates ERA 2025 reforms (day-one paternity/parental leave Apr 2026) - baseline expected to shift.",A,"Same cluster as FAM_002 || CIPD working-parents 2022 Grade A all-UK: UPGRADED B->A. Maternity-pay distribution: 33% statutory-only / 18% 4-13wk enhanced / 21% 26wk enhanced. More generous than 2016 (48% statutory-only). | legacy corrob: maternity pay basis Same-for-all 23 / By-service 18 / Statutory 8, n=49 [2026-06-21]",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_FAM_002,Time Off,single_select,How many weeks of enhanced maternity and adoption pay a,None (statutory only) 44%,214,ANCHORED,YES,2 - leave/policy,Enhanced maternity/paternity/adoption/SPL: 60% large(250+); ~19% all UK-only (Fig28),"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK / large split,A,"RS p19 large=60%; Fig28 UK-only=19% || CIPD working-parents 2022 Grade A all-UK SOURCE-CONFIRM: among enhancers, 18% give 4-13 wks at/near full pay, 21% give 26 wks at/near full pay (+13 wks SMP). Public sector skews to the 26-wk band. || LEVEL DISTRIBUTION (Drewberry 2026, n=626): enhanced maternity 90-100% pay - 26.5% offer 20-26 weeks, 16.5% offer 13-19 weeks; 18.5% still statutory-only (up from 15.8% prior yr). Adds duration shape to CIPD A prevalence; broker-book skew. CIPD stays primary.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_FAM_005,Time Off,single_select,Do you provide enhanced shared parental pay above statu,No (statutory only) 51%,212,unanchored - needs research,,2 - leave/policy,,"CIPD ""Employer focus on working parents: parental leave and pay and childcare policies"" (Aug 2022, ref 8268). YouGov, n=2,000 senior UK decision-makers, Jun-Jul 2022, weighted representative of UK employment by size/sector/industry (from Labour Market Outlook). Grade A. Verified from source PDF.","All-UK employers, n=2,000, weighted to UK employment by size/sector/industry (CIPD/YouGov 2022). Nationally representative. Sector splits in source. NOTE: pre-dates ERA 2025 reforms (day-one paternity/parental leave Apr 2026) - baseline expected to shift.",,"Within enhanced-family cluster; SPL-specific lower || CIPD working-parents 2022 Grade A all-UK: UPGRADED B->A. SPL take-up collapsing: 85% of employers saw zero new-father uptake; 88% zero new-mother uptake; ~2% of eligible couples overall. Near-zero prevalence IS the finding. | legacy corrob: SPL basis Same-for-all 15 / Statutory 14 / By-service 13, n=42 [2026-06-21]",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_FAM_006,Time Off,single_select,Do you provide any paid parental leave beyond statutory,No (statutory unpaid onl 62%,218,ANCHORED (statutory floor),YES - gov.uk verified,2 - leave/policy,Statutory baseline (April 2026): SMP/SPP/ShPP £194.32/week (or 90% AWE if lower); SMP first 6 wks at 90% AWE. Paternity 2 weeks. Shared Parental Leave up to 50 wks shared. ERA 2025 made paternity & unpaid parental leave DAY-ONE rights. Neonatal Care Leave (up to 12 wks) live from April 2025.,gov.uk / Acas / business.gov.uk + Employment Rights (Increase of Limits) Order 2026; Employment Rights Act 2025 (SSP reform). Verified June 2026.,"UK statutory floor (legal minimum, applies to all UK employers). This is the LEGAL BASELINE, not a prevalence - it sets the floor the platform measures ""above/on/below"" against, not what % of employers do X.",A,"Statutory FLOOR for family leave/pay. ""Beyond statutory"" ENHANCEMENT PREVALENCE (% who enhance) still needs CIPD - that part remains unanchored. Floor anchored here as the baseline. || CIPD working-parents 2022 context: beyond-statutory parental leave still minority practice - 49% paternity at statutory floor, SPL near-zero. 15% of employers plan parental-policy changes in next 2 yrs (mostly enhancements: 73% maternity, 70% paternity, 65% SPL planning to enhance).",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_FAM_007,Time Off,single_select,Do you provide paid carer's leave for employees with ca,Unpaid leave only 67%,218,ANCHORED,YES,2 - leave/policy,"52% of UK employers have a policy/procedure for employees to request carer's leave (75% public, 46% private, 59% voluntary; 67% large 250+ vs 33% SME). PAID carer's leave specifically offered by ~36% (RMS 2022) / 31-45% (flex 2025 support data). Carer's Leave Act 2023 gives 1 week UNPAID from Apr 2024; CIPD campaigns to make it paid.","CIPD ""Flexible and hybrid working practices in 2025"" (July 2025, ref 8909). YouGov, n=2,050 UK HR professionals, fieldwork 14 Apr-5 May 2025, weighted/representative of senior decision-makers. Grade A. Post-ERA (Flexible Working) Act 2023 day-one right. Verified from source PDF.","All-UK employers, n=2,050 HR professionals, weighted (CIPD/YouGov 2025). Nationally representative. Sector/size splits in source. Post-Carer's-Leave-Act-2023 and post-day-one-flexible-working-right (Apr 2024).",A,"RS p22 carer's-leave +16pp among reviewers; HW life-stage carer provision 63%(diff base) || CIPD RMS 2022 Grade A all-UK: paid carer's leave 36%. Sits among the less-common paid-leave types (vs bereavement 86%, jury 64%). Pre-ERA-2025 baseline. || CIPD flex 2025 Grade A all-UK (n=2,050) UPGRADE: 52% have carer's-leave policy/procedure; paid leave 31-45% in support-forms data. Supersedes/strengthens RMS-2022 36%-paid figure with post-Carer's-Leave-Act policy prevalence. Only 15% saw increased requests since Act. || CONFIRMED CURRENT (CIPD Flexible & Hybrid Working 2025 (Jul 2025, YouGov n=2,050 employers, weighted)): 52% have carer's-leave policy; paid leave provided by 36% (vs statutory unpaid week). Public sector 75% have policy vs private 46%.",BASE_VARIANT,multi-base; use all-UK (first/headline)
